Year,Month,Value
2012,1,0.011385
2012,2,0.011385
2012,3,0.011385
2012,4,0.011385
2012,5,0.022775
2012,6,0.022775
2012,7,0.022775
2012,8,0.022775
2012,9,0.022775
2012,10,0.011385
2012,11,0.011385
2012,12,0.011385
2013,1,0.01483
2013,2,0.01483
2013,3,0.01483
2013,4,0.01483
2013,5,0.029655
2013,6,0.029655
2013,7,0.029655
2013,8,0.029655
2013,9,0.029655
2013,10,0.01483
2013,11,0.01483
2013,12,0.01483
2014,1,0.018269999999999998
2014,2,0.018269999999999998
2014,3,0.018269999999999998
2014,4,0.018269999999999998
2014,5,0.036535
2014,6,0.036535
2014,7,0.036535
2014,8,0.036535
2014,9,0.036535
2014,10,0.018269999999999998
2014,11,0.018269999999999998
2014,12,0.018269999999999998
2015,1,0.018505
2015,2,0.018505
2015,3,0.018505
2015,4,0.018505
2015,5,0.037005
2015,6,0.037005
2015,7,0.037005
2015,8,0.037005
2015,9,0.037005
2015,10,0.018505
2015,11,0.018505
2015,12,0.018505
2016,1,0.01874
2016,2,0.01874
2016,3,0.01874
2016,4,0.01874
2016,5,0.03748
2016,6,0.03748
2016,7,0.03748
2016,8,0.03748
2016,9,0.03748
2016,10,0.01874
2016,11,0.01874
2016,12,0.01874
2017,1,0.018985
2017,2,0.018985
2017,3,0.018985
2017,4,0.018985
2017,5,0.037965000000000006
2017,6,0.037965000000000006
2017,7,0.037965000000000006
2017,8,0.037965000000000006
2017,9,0.037965000000000006
2017,10,0.018985
2017,11,0.018985
2017,12,0.018985
2018,1,0.019385000000000003
2018,2,0.019385000000000003
2018,3,0.019385000000000003
2018,4,0.019385000000000003
2018,5,0.038765
2018,6,0.038765
2018,7,0.038765
2018,8,0.038765
2018,9,0.038765
2018,10,0.019385000000000003
2018,11,0.019385000000000003
2018,12,0.019385000000000003
2019,1,0.01961
2019,2,0.01961
2019,3,0.01961
2019,4,0.01961
2019,5,0.03922
2019,6,0.03922
2019,7,0.03922
2019,8,0.03922
2019,9,0.03922
2019,10,0.01961
2019,11,0.01961
2019,12,0.01961
2020,1,0.019774999999999997
2020,2,0.019774999999999997
2020,3,0.019774999999999997
2020,4,0.019774999999999997
2020,5,0.039545000000000004
2020,6,0.039545000000000004
2020,7,0.039545000000000004
2020,8,0.039545000000000004
2020,9,0.039545000000000004
2020,10,0.019774999999999997
2020,11,0.019774999999999997
2020,12,0.019774999999999997
2021,1,0.019995000000000002
2021,2,0.019995000000000002
2021,3,0.019995000000000002
2021,4,0.019995000000000002
2021,5,0.039990000000000005
2021,6,0.039990000000000005
2021,7,0.039990000000000005
2021,8,0.039990000000000005
2021,9,0.039990000000000005
2021,10,0.019995000000000002
2021,11,0.019995000000000002
2021,12,0.019995000000000002
2022,1,0.02026
2022,2,0.02026
2022,3,0.02026
2022,4,0.02026
2022,5,0.04052
2022,6,0.04052
2022,7,0.04052
2022,8,0.04052
2022,9,0.04052
2022,10,0.02026
2022,11,0.02026
2022,12,0.02026
2023,1,0.02053
2023,2,0.02053
2023,3,0.02053
2023,4,0.02053
2023,5,0.041055
2023,6,0.041055
2023,7,0.041055
2023,8,0.041055
2023,9,0.041055
2023,10,0.02053
2023,11,0.02053
2023,12,0.02053
2024,1,0.0208
2024,2,0.0208
2024,3,0.0208
2024,4,0.0208
2024,5,0.0416
2024,6,0.0416
2024,7,0.0416
2024,8,0.0416
2024,9,0.0416
2024,10,0.0208
2024,11,0.0208
2024,12,0.0208
2025,1,0.021079999999999998
2025,2,0.021079999999999998
2025,3,0.021079999999999998
2025,4,0.021079999999999998
2025,5,0.042155
2025,6,0.042155
2025,7,0.042155
2025,8,0.042155
2025,9,0.042155
2025,10,0.021079999999999998
2025,11,0.021079999999999998
2025,12,0.021079999999999998
2026,1,0.02136
2026,2,0.02136
2026,3,0.02136
2026,4,0.02136
2026,5,0.04272
2026,6,0.04272
2026,7,0.04272
2026,8,0.04272
2026,9,0.04272
2026,10,0.02136
2026,11,0.02136
2026,12,0.02136
2027,1,0.021645
2027,2,0.021645
2027,3,0.021645
2027,4,0.021645
2027,5,0.043295
2027,6,0.043295
2027,7,0.043295
2027,8,0.043295
2027,9,0.043295
2027,10,0.021645
2027,11,0.021645
2027,12,0.021645
2028,1,0.02194
2028,2,0.02194
2028,3,0.02194
2028,4,0.02194
2028,5,0.04388
2028,6,0.04388
2028,7,0.04388
2028,8,0.04388
2028,9,0.04388
2028,10,0.02194
2028,11,0.02194
2028,12,0.02194
2029,1,0.02209
2029,2,0.02209
2029,3,0.02209
2029,4,0.02209
2029,5,0.044185
2029,6,0.044185
2029,7,0.044185
2029,8,0.044185
2029,9,0.044185
2029,10,0.02209
2029,11,0.02209
2029,12,0.02209
2030,1,0.022245
2030,2,0.022245
2030,3,0.022245
2030,4,0.022245
2030,5,0.04449
2030,6,0.04449
2030,7,0.04449
2030,8,0.04449
2030,9,0.04449
2030,10,0.022245
2030,11,0.022245
2030,12,0.022245
2031,1,0.0224
2031,2,0.0224
2031,3,0.0224
2031,4,0.0224
2031,5,0.0448
2031,6,0.0448
2031,7,0.0448
2031,8,0.0448
2031,9,0.0448
2031,10,0.0224
2031,11,0.0224
2031,12,0.0224
2032,1,0.022555
2032,2,0.022555
2032,3,0.022555
2032,4,0.022555
2032,5,0.04511
2032,6,0.04511
2032,7,0.04511
2032,8,0.04511
2032,9,0.04511
2032,10,0.022555
2032,11,0.022555
2032,12,0.022555
2033,1,0.022715
2033,2,0.022715
2033,3,0.022715
2033,4,0.022715
2033,5,0.045425
2033,6,0.045425
2033,7,0.045425
2033,8,0.045425
2033,9,0.045425
2033,10,0.022715
2033,11,0.022715
2033,12,0.022715
2034,1,0.02287
2034,2,0.02287
2034,3,0.02287
2034,4,0.02287
2034,5,0.04574
2034,6,0.04574
2034,7,0.04574
2034,8,0.04574
2034,9,0.04574
2034,10,0.02287
2034,11,0.02287
2034,12,0.02287
2035,1,0.023030000000000002
2035,2,0.023030000000000002
2035,3,0.023030000000000002
2035,4,0.023030000000000002
2035,5,0.046060000000000004
2035,6,0.046060000000000004
2035,7,0.046060000000000004
2035,8,0.046060000000000004
2035,9,0.046060000000000004
2035,10,0.023030000000000002
2035,11,0.023030000000000002
2035,12,0.023030000000000002
2036,1,0.023190000000000002
2036,2,0.023190000000000002
2036,3,0.023190000000000002
2036,4,0.023190000000000002
2036,5,0.046380000000000005
2036,6,0.046380000000000005
2036,7,0.046380000000000005
2036,8,0.046380000000000005
2036,9,0.046380000000000005
2036,10,0.023190000000000002
2036,11,0.023190000000000002
2036,12,0.023190000000000002
2037,1,0.023350000000000003
2037,2,0.023350000000000003
2037,3,0.023350000000000003
2037,4,0.023350000000000003
2037,5,0.046704999999999997
2037,6,0.046704999999999997
2037,7,0.046704999999999997
2037,8,0.046704999999999997
2037,9,0.046704999999999997
2037,10,0.023350000000000003
2037,11,0.023350000000000003
2037,12,0.023350000000000003
2038,1,0.023515
2038,2,0.023515
2038,3,0.023515
2038,4,0.023515
2038,5,0.04703
2038,6,0.04703
2038,7,0.04703
2038,8,0.04703
2038,9,0.04703
2038,10,0.023515
2038,11,0.023515
2038,12,0.023515
2039,1,0.02368
2039,2,0.02368
2039,3,0.02368
2039,4,0.02368
2039,5,0.047354999999999994
2039,6,0.047354999999999994
2039,7,0.047354999999999994
2039,8,0.047354999999999994
2039,9,0.047354999999999994
2039,10,0.02368
2039,11,0.02368
2039,12,0.02368
2040,1,0.023844999999999998
2040,2,0.023844999999999998
2040,3,0.023844999999999998
2040,4,0.023844999999999998
2040,5,0.047685000000000005
2040,6,0.047685000000000005
2040,7,0.047685000000000005
2040,8,0.047685000000000005
2040,9,0.047685000000000005
2040,10,0.023844999999999998
2040,11,0.023844999999999998
2040,12,0.023844999999999998
2041,1,0.02401
2041,2,0.02401
2041,3,0.02401
2041,4,0.02401
2041,5,0.048015
2041,6,0.048015
2041,7,0.048015
2041,8,0.048015
2041,9,0.048015
2041,10,0.02401
2041,11,0.02401
2041,12,0.02401
2042,1,0.024175000000000002
2042,2,0.024175000000000002
2042,3,0.024175000000000002
2042,4,0.024175000000000002
2042,5,0.048350000000000004
2042,6,0.048350000000000004
2042,7,0.048350000000000004
2042,8,0.048350000000000004
2042,9,0.048350000000000004
2042,10,0.024175000000000002
2042,11,0.024175000000000002
2042,12,0.024175000000000002
2043,1,0.024345
2043,2,0.024345
2043,3,0.024345
2043,4,0.024345
2043,5,0.04869
2043,6,0.04869
2043,7,0.04869
2043,8,0.04869
2043,9,0.04869
2043,10,0.024345
2043,11,0.024345
2043,12,0.024345
2044,1,0.024515000000000002
2044,2,0.024515000000000002
2044,3,0.024515000000000002
2044,4,0.024515000000000002
2044,5,0.049025
2044,6,0.049025
2044,7,0.049025
2044,8,0.049025
2044,9,0.049025
2044,10,0.024515000000000002
2044,11,0.024515000000000002
2044,12,0.024515000000000002
2045,1,0.024685
2045,2,0.024685
2045,3,0.024685
2045,4,0.024685
2045,5,0.04937
2045,6,0.04937
2045,7,0.04937
2045,8,0.04937
2045,9,0.04937
2045,10,0.024685
2045,11,0.024685
2045,12,0.024685
2046,1,0.024855000000000002
2046,2,0.024855000000000002
2046,3,0.024855000000000002
2046,4,0.024855000000000002
2046,5,0.049710000000000004
2046,6,0.049710000000000004
2046,7,0.049710000000000004
2046,8,0.049710000000000004
2046,9,0.049710000000000004
2046,10,0.024855000000000002
2046,11,0.024855000000000002
2046,12,0.024855000000000002
2047,1,0.02503
2047,2,0.02503
2047,3,0.02503
2047,4,0.02503
2047,5,0.05006
2047,6,0.05006
2047,7,0.05006
2047,8,0.05006
2047,9,0.05006
2047,10,0.02503
2047,11,0.02503
2047,12,0.02503
2048,1,0.025204999999999998
2048,2,0.025204999999999998
2048,3,0.025204999999999998
2048,4,0.025204999999999998
2048,5,0.050405
2048,6,0.050405
2048,7,0.050405
2048,8,0.050405
2048,9,0.050405
2048,10,0.025204999999999998
2048,11,0.025204999999999998
2048,12,0.025204999999999998
2049,1,0.02538
2049,2,0.02538
2049,3,0.02538
2049,4,0.02538
2049,5,0.050755
2049,6,0.050755
2049,7,0.050755
2049,8,0.050755
2049,9,0.050755
2049,10,0.02538
2049,11,0.02538
2049,12,0.02538
2050,1,0.025555
2050,2,0.025555
2050,3,0.025555
2050,4,0.025555
2050,5,0.05111
2050,6,0.05111
2050,7,0.05111
2050,8,0.05111
2050,9,0.05111
2050,10,0.025555
2050,11,0.025555
2050,12,0.025555
2051,1,0.025735
2051,2,0.025735
2051,3,0.025735
2051,4,0.025735
2051,5,0.051465000000000004
2051,6,0.051465000000000004
2051,7,0.051465000000000004
2051,8,0.051465000000000004
2051,9,0.051465000000000004
2051,10,0.025735
2051,11,0.025735
2051,12,0.025735
2052,1,0.02591
2052,2,0.02591
2052,3,0.02591
2052,4,0.02591
2052,5,0.051825
2052,6,0.051825
2052,7,0.051825
2052,8,0.051825
2052,9,0.051825
2052,10,0.02591
2052,11,0.02591
2052,12,0.02591
2053,1,0.02609
2053,2,0.02609
2053,3,0.02609
2053,4,0.02609
2053,5,0.052185
2053,6,0.052185
2053,7,0.052185
2053,8,0.052185
2053,9,0.052185
2053,10,0.02609
2053,11,0.02609
2053,12,0.02609
2054,1,0.026275
2054,2,0.026275
2054,3,0.026275
2054,4,0.026275
2054,5,0.026275
2054,6,0.026275
2054,7,0.026275
2054,8,0.026275
2054,9,0.026275
2054,10,0.026275
2054,11,0.026275
2054,12,0.026275
